Area,Item,Element,Unit,Amount
Afghanistan,Crop Residues,Direct emissions (N2O),kilotonnes,1.317
Afghanistan,Crop Residues,Indirect emissions (N2O),kilotonnes,0.2963
Afghanistan,Crop Residues,Emissions (N2O),kilotonnes,1.6133
Afghanistan,Crop Residues,Emissions (CO2eq) from N2O (AR5),kilotonnes,427.5284
Afghanistan,Crop Residues,Emissions (CO2eq) (AR5),kilotonnes,427.5284
Afghanistan,Rice Cultivation,Emissions (CH4),kilotonnes,20.6577
Afghanistan,Rice Cultivation,Emissions (CO2eq) from CH4 (AR5),kilotonnes,578.4156
Afghanistan,Rice Cultivation,Emissions (CO2eq) (AR5),kilotonnes,578.4156
Afghanistan,Burning - Crop residues,Emissions (CH4),kilotonnes,3.4826
Afghanistan,Burning - Crop residues,Emissions (N2O),kilotonnes,0.0903
Afghanistan,Burning - Crop residues,Emissions (CO2eq) from CH4 (AR5),kilotonnes,97.513
Afghanistan,Burning - Crop residues,Emissions (CO2eq) from N2O (AR5),kilotonnes,23.9268
Afghanistan,Burning - Crop residues,Emissions (CO2eq) (AR5),kilotonnes,121.4398
Afghanistan,Enteric Fermentation,Emissions (CH4),kilotonnes,378.5858
Afghanistan,Enteric Fermentation,Emissions (CO2eq) from CH4 (AR5),kilotonnes,10600.4026
Afghanistan,Enteric Fermentation,Emissions (CO2eq) (AR5),kilotonnes,10600.4026
Afghanistan,Manure Management,Emissions (CH4),kilotonnes,24.2306
Afghanistan,Manure Management,Emissions (N2O),kilotonnes,0.4033
Afghanistan,Manure Management,Emissions (CO2eq) from CH4 (AR5),kilotonnes,678.4564
Afghanistan,Manure Management,Emissions (CO2eq) from N2O (AR5),kilotonnes,106.8751
Afghanistan,Manure Management,Emissions (CO2eq) (AR5),kilotonnes,785.3315
Afghanistan,Manure left on Pasture,Direct emissions (N2O),kilotonnes,7.7306
Afghanistan,Manure left on Pasture,Indirect emissions (N2O),kilotonnes,2.6226
Afghanistan,Manure left on Pasture,Emissions (N2O),kilotonnes,10.3532
Afghanistan,Manure left on Pasture,Emissions (CO2eq) from N2O (AR5),kilotonnes,2743.5945
Afghanistan,Manure left on Pasture,Emissions (CO2eq) (AR5),kilotonnes,2743.5945
Afghanistan,Manure applied to Soils,Direct emissions (N2O),kilotonnes,1.1293
Afghanistan,Manure applied to Soils,Indirect emissions (N2O),kilotonnes,0.4799
Afghanistan,Manure applied to Soils,Emissions (N2O),kilotonnes,1.6092
Afghanistan,Manure applied to Soils,Emissions (CO2eq) from N2O (AR5),kilotonnes,426.4361
Afghanistan,Manure applied to Soils,Emissions (CO2eq) (AR5),kilotonnes,426.4361
Afghanistan,Synthetic Fertilizers,Direct emissions (N2O),kilotonnes,0.6779
Afghanistan,Synthetic Fertilizers,Indirect emissions (N2O),kilotonnes,0.2203
Afghanistan,Synthetic Fertilizers,Emissions (N2O),kilotonnes,0.8983
Afghanistan,Synthetic Fertilizers,Emissions (CO2eq) from N2O (AR5),kilotonnes,238.0417
Afghanistan,Synthetic Fertilizers,Emissions (CO2eq) (AR5),kilotonnes,238.0417
Afghanistan,Drained organic soils,Emissions (CO2eq) (AR5),kilotonnes,0
Afghanistan,Drained organic soils (CO2),Emissions (CO2),kilotonnes,0
Afghanistan,Drained organic soils (CO2),Emissions (CO2eq) (AR5),kilotonnes,0
Afghanistan,Drained organic soils (N2O),Emissions (N2O),kilotonnes,0
Afghanistan,Drained organic soils (N2O),Emissions (CO2eq) from N2O (AR5),kilotonnes,0
Afghanistan,Drained organic soils (N2O),Emissions (CO2eq) (AR5),kilotonnes,0
Afghanistan,On-farm energy use,Emissions (CH4),kilotonnes,0.0657
Afghanistan,On-farm energy use,Emissions (N2O),kilotonnes,0.0362
Afghanistan,On-farm energy use,Emissions (CO2),kilotonnes,117.0798
Afghanistan,On-farm energy use,Emissions (CO2eq) from CH4 (AR5),kilotonnes,1.8396
Afghanistan,On-farm energy use,Emissions (CO2eq) from N2O (AR5),kilotonnes,9.5998
Afghanistan,On-farm energy use,Emissions (CO2eq) (AR5),kilotonnes,128.5193
Afghanistan,Forestland,Emissions (CO2),kilotonnes,154.6574
Afghanistan,Forestland,Emissions (CO2eq) (AR5),kilotonnes,154.6574
Afghanistan,Net Forest conversion,Emissions (CO2),kilotonnes,0
Afghanistan,Net Forest conversion,Emissions (CO2eq) (AR5),kilotonnes,0
Afghanistan,Savanna fires,Emissions (CH4),kilotonnes,0.2077
Afghanistan,Savanna fires,Emissions (N2O),kilotonnes,0.019
Afghanistan,Savanna fires,Emissions (CO2eq) from CH4 (AR5),kilotonnes,5.8165
Afghanistan,Savanna fires,Emissions (CO2eq) from N2O (AR5),kilotonnes,5.0262
